model,layer_name,layer_index,layer_kind
alexnet,features.0,0,convolutional
alexnet,features.1,1,activation
alexnet,features.2,2,pooling
alexnet,features.3,3,convolutional
alexnet,features.4,4,activation
alexnet,features.5,5,pooling
alexnet,features.6,6,convolutional
alexnet,features.7,7,activation
alexnet,features.8,8,convolutional
alexnet,features.9,9,activation
alexnet,features.10,10,convolutional
alexnet,features.11,11,activation
alexnet,features.12,12,pooling
alexnet,avgpool,13,pooling
alexnet,classifier.0,14,other
alexnet,classifier.1,15,fully_connected
alexnet,classifier.2,16,activation
alexnet,classifier.3,17,other
alexnet,classifier.4,18,fully_connected
alexnet,classifier.5,19,activation
alexnet,classifier.6,20,fully_connected
resnet50,conv1,0,convolutional
resnet50,bn1,1,normalization
resnet50,relu,2,activation
resnet50,maxpool,3,pooling
resnet50,layer1.0.conv1,4,convolutional
resnet50,layer1.0.bn1,5,normalization
resnet50,layer1.0.conv2,6,convolutional
resnet50,layer1.0.bn2,7,normalization
resnet50,layer1.0.conv3,8,convolutional
resnet50,layer1.0.bn3,9,normalization
resnet50,layer1.0.relu,10,activation
resnet50,layer1.0.downsample.0,11,convolutional
resnet50,layer1.0.downsample.1,12,normalization
resnet50,layer1.1.conv1,13,convolutional
resnet50,layer1.1.bn1,14,normalization
resnet50,layer1.1.conv2,15,convolutional
resnet50,layer1.1.bn2,16,normalization
resnet50,layer1.1.conv3,17,convolutional
resnet50,layer1.1.bn3,18,normalization
resnet50,layer1.1.relu,19,activation
resnet50,layer1.2.conv1,20,convolutional
resnet50,layer1.2.bn1,21,normalization
resnet50,layer1.2.conv2,22,convolutional
resnet50,layer1.2.bn2,23,normalization
resnet50,layer1.2.conv3,24,convolutional
resnet50,layer1.2.bn3,25,normalization
resnet50,layer1.2.relu,26,activation
resnet50,layer2.0.conv1,27,convolutional
resnet50,layer2.0.bn1,28,normalization
resnet50,layer2.0.conv2,29,convolutional
resnet50,layer2.0.bn2,30,normalization
resnet50,layer2.0.conv3,31,convolutional
resnet50,layer2.0.bn3,32,normalization
resnet50,layer2.0.relu,33,activation
resnet50,layer2.0.downsample.0,34,convolutional
resnet50,layer2.0.downsample.1,35,normalization
resnet50,layer2.1.conv1,36,convolutional
resnet50,layer2.1.bn1,37,normalization
resnet50,layer2.1.conv2,38,convolutional
resnet50,layer2.1.bn2,39,normalization
resnet50,layer2.1.conv3,40,convolutional
resnet50,layer2.1.bn3,41,normalization
resnet50,layer2.1.relu,42,activation
resnet50,layer2.2.conv1,43,convolutional
resnet50,layer2.2.bn1,44,normalization
resnet50,layer2.2.conv2,45,convolutional
resnet50,layer2.2.bn2,46,normalization
resnet50,layer2.2.conv3,47,convolutional
resnet50,layer2.2.bn3,48,normalization
resnet50,layer2.2.relu,49,activation
resnet50,layer2.3.conv1,50,convolutional
resnet50,layer2.3.bn1,51,normalization
resnet50,layer2.3.conv2,52,convolutional
resnet50,layer2.3.bn2,53,normalization
resnet50,layer2.3.conv3,54,convolutional
resnet50,layer2.3.bn3,55,normalization
resnet50,layer2.3.relu,56,activation
resnet50,layer3.0.conv1,57,convolutional
resnet50,layer3.0.bn1,58,normalization
resnet50,layer3.0.conv2,59,convolutional
resnet50,layer3.0.bn2,60,normalization
resnet50,layer3.0.conv3,61,convolutional
resnet50,layer3.0.bn3,62,normalization
resnet50,layer3.0.relu,63,activation
resnet50,layer3.0.downsample.0,64,convolutional
resnet50,layer3.0.downsample.1,65,normalization
resnet50,layer3.1.conv1,66,convolutional
resnet50,layer3.1.bn1,67,normalization
resnet50,layer3.1.conv2,68,convolutional
resnet50,layer3.1.bn2,69,normalization
resnet50,layer3.1.conv3,70,convolutional
resnet50,layer3.1.bn3,71,normalization
resnet50,layer3.1.relu,72,activation
resnet50,layer3.2.conv1,73,convolutional
resnet50,layer3.2.bn1,74,normalization
resnet50,layer3.2.conv2,75,convolutional
resnet50,layer3.2.bn2,76,normalization
resnet50,layer3.2.conv3,77,convolutional
resnet50,layer3.2.bn3,78,normalization
resnet50,layer3.2.relu,79,activation
resnet50,layer3.3.conv1,80,convolutional
resnet50,layer3.3.bn1,81,normalization
resnet50,layer3.3.conv2,82,convolutional
resnet50,layer3.3.bn2,83,normalization
resnet50,layer3.3.conv3,84,convolutional
resnet50,layer3.3.bn3,85,normalization
resnet50,layer3.3.relu,86,activation
resnet50,layer3.4.conv1,87,convolutional
resnet50,layer3.4.bn1,88,normalization
resnet50,layer3.4.conv2,89,convolutional
resnet50,layer3.4.bn2,90,normalization
resnet50,layer3.4.conv3,91,convolutional
resnet50,layer3.4.bn3,92,normalization
resnet50,layer3.4.relu,93,activation
resnet50,layer3.5.conv1,94,convolutional
resnet50,layer3.5.bn1,95,normalization
resnet50,layer3.5.conv2,96,convolutional
resnet50,layer3.5.bn2,97,normalization
resnet50,layer3.5.conv3,98,convolutional
resnet50,layer3.5.bn3,99,normalization
resnet50,layer3.5.relu,100,activation
resnet50,layer4.0.conv1,101,convolutional
resnet50,layer4.0.bn1,102,normalization
resnet50,layer4.0.conv2,103,convolutional
resnet50,layer4.0.bn2,104,normalization
resnet50,layer4.0.conv3,105,convolutional
resnet50,layer4.0.bn3,106,normalization
resnet50,layer4.0.relu,107,activation
resnet50,layer4.0.downsample.0,108,convolutional
resnet50,layer4.0.downsample.1,109,normalization
resnet50,layer4.1.conv1,110,convolutional
resnet50,layer4.1.bn1,111,normalization
resnet50,layer4.1.conv2,112,convolutional
resnet50,layer4.1.bn2,113,normalization
resnet50,layer4.1.conv3,114,convolutional
resnet50,layer4.1.bn3,115,normalization
resnet50,layer4.1.relu,116,activation
resnet50,layer4.2.conv1,117,convolutional
resnet50,layer4.2.bn1,118,normalization
resnet50,layer4.2.conv2,119,convolutional
resnet50,layer4.2.bn2,120,normalization
resnet50,layer4.2.conv3,121,convolutional
resnet50,layer4.2.bn3,122,normalization
resnet50,layer4.2.relu,123,activation
resnet50,avgpool,124,pooling
resnet50,fc,125,fully_connected
vgg16,features.0,0,convolutional
vgg16,features.1,1,activation
vgg16,features.2,2,convolutional
vgg16,features.3,3,activation
vgg16,features.4,4,pooling
vgg16,features.5,5,convolutional
vgg16,features.6,6,activation
vgg16,features.7,7,convolutional
vgg16,features.8,8,activation
vgg16,features.9,9,pooling
vgg16,features.10,10,convolutional
vgg16,features.11,11,activation
vgg16,features.12,12,convolutional
vgg16,features.13,13,activation
vgg16,features.14,14,convolutional
vgg16,features.15,15,activation
vgg16,features.16,16,pooling
vgg16,features.17,17,convolutional
vgg16,features.18,18,activation
vgg16,features.19,19,convolutional
vgg16,features.20,20,activation
vgg16,features.21,21,convolutional
vgg16,features.22,22,activation
vgg16,features.23,23,pooling
vgg16,features.24,24,convolutional
vgg16,features.25,25,activation
vgg16,features.26,26,convolutional
vgg16,features.27,27,activation
vgg16,features.28,28,convolutional
vgg16,features.29,29,activation
vgg16,features.30,30,pooling
vgg16,avgpool,31,pooling
vgg16,classifier.0,32,fully_connected
vgg16,classifier.1,33,activation
vgg16,classifier.2,34,other
vgg16,classifier.3,35,fully_connected
vgg16,classifier.4,36,activation
vgg16,classifier.5,37,other
vgg16,classifier.6,38,fully_connected
clip,visual.conv1,0,convolutional
clip,visual.ln_pre,1,normalization
clip,visual.transformer.resblocks.0.attn.out_proj,2,fully_connected
clip,visual.transformer.resblocks.0.ln_1,3,normalization
clip,visual.transformer.resblocks.0.mlp.c_fc,4,fully_connected
clip,visual.transformer.resblocks.0.mlp.gelu,5,attention
clip,visual.transformer.resblocks.0.mlp.c_proj,6,fully_connected
clip,visual.transformer.resblocks.0.ln_2,7,normalization
clip,visual.transformer.resblocks.1.attn.out_proj,8,fully_connected
clip,visual.transformer.resblocks.1.ln_1,9,normalization
clip,visual.transformer.resblocks.1.mlp.c_fc,10,fully_connected
clip,visual.transformer.resblocks.1.mlp.gelu,11,attention
