filename,face,body_part,symbol,icon,numerosity,human,monkey
acorn_01b,0,0,0,0,0,,
acorn_02n,0,0,0,0,1,,
acorn_03s,0,0,0,0,1,,
acorn_04s,0,0,0,0,1,,
acorn_05s,0,0,0,0,1,,
acorn_06s,0,0,0,0,1,,
acorn_07s,0,0,0,0,0,,
acorn_08s,0,0,0,0,1,,
acorn_09s,0,0,0,0,0,,
acorn_10s,0,0,0,0,1,,
acorn_11s,0,0,0,0,1,,
acorn_12s,0,0,0,0,0,,
airbag_01b,0,0,0,0,1,,
airbag_02s,0,0,0,0,0,,
airbag_03s,0,0,0,0,0,,
airbag_04s,0,0,0,0,0,,
airbag_05s,0,0,0,0,0,,
airbag_06s,0,0,0,0,0,,
airbag_07s,0,0,1,1,0,,
airbag_08s,0,0,0,0,0,,
airbag_09s,0,1,0,0,0,0,0
airbag_10s,0,0,0,0,0,,
airbag_11s,0,0,0,0,0,,
airbag_12s,0,1,0,0,0,0,0
aircraft_carrier_01b,0,0,0,0,0,,
aircraft_carrier_02s,0,0,0,0,0,,
aircraft_carrier_03s,0,0,0,0,1,,
aircraft_carrier_04s,0,0,0,0,0,,
aircraft_carrier_05s,0,0,0,0,1,,
aircraft_carrier_06s,0,0,1,0,0,,
aircraft_carrier_07s,0,0,0,0,0,,
aircraft_carrier_08s,0,0,0,0,0,,
aircraft_carrier_09s,0,0,0,0,0,,
aircraft_carrier_10s,0,0,0,0,0,,
aircraft_carrier_11s,0,0,0,0,0,,
aircraft_carrier_12s,0,0,0,0,0,,
airplane_01b,0,0,1,0,0,,
airplane_02n,0,0,1,0,0,,
airplane_03n,0,0,0,0,0,,
airplane_04n,0,0,1,0,0,,
airplane_05n,0,0,1,1,0,,
airplane_06n,0,0,1,0,0,,
airplane_07n,0,0,0,0,0,,
airplane_08n,0,0,1,0,0,,
airplane_09n,0,0,1,0,0,,
airplane_10n,0,0,0,0,0,,
airplane_11n,0,0,1,0,0,,
airplane_12n,0,0,1,0,0,,
alligator_01b,1,1,0,0,0,0,0
alligator_02s,1,1,0,0,0,0,0
alligator_03n,1,1,0,0,0,0,0
alligator_04s,1,1,0,0,0,0,0
alligator_05s,1,0,0,0,0,0,0
alligator_06s,1,1,0,0,0,0,0
alligator_07s,1,1,0,0,0,0,0
alligator_08s,1,1,0,0,0,0,0
alligator_09s,1,0,0,0,0,0,0
alligator_10s,1,1,0,0,0,0,0
alligator_11s,1,0,0,0,0,0,0
alligator_12s,1,1,0,0,0,0,0
aloe_01b,0,0,0,0,0,,
aloe_02s,0,0,0,0,0,,
aloe_03n,0,0,0,0,0,,
aloe_04s,0,0,0,0,0,,
aloe_05s,0,0,0,0,0,,
aloe_06s,0,0,0,0,0,,
aloe_07s,0,0,0,0,0,,
aloe_08n,0,0,0,0,0,,
aloe_09s,0,0,0,0,0,,
aloe_10s,0,0,0,0,0,,
aloe_11n,0,0,0,0,0,,
aloe_12n,0,0,0,0,0,,
altar_01b,0,0,0,0,0,,
altar_02s,0,0,0,1,0,,
altar_03s,0,0,0,0,0,,
altar_04s,0,0,0,0,0,,
altar_05s,0,0,0,0,0,,
altar_06s,0,0,0,0,0,,
altar_07s,0,0,0,0,1,,
altar_08s,0,0,0,1,0,,
altar_09s,0,0,0,0,0,,
altar_10s,0,0,1,0,0,,
altar_11n,0,0,0,0,0,,
altar_12s,0,0,0,0,0,,
aluminum_foil_01b,0,0,0,0,0,,
aluminum_foil_02s,0,0,0,0,0,,
aluminum_foil_03s,0,0,0,0,1,,
aluminum_foil_04s,0,0,0,0,0,,
aluminum_foil_05s,0,0,0,0,0,,
aluminum_foil_06s,0,0,0,0,0,,
aluminum_foil_07s,0,0,0,0,0,,
aluminum_foil_08s,0,0,0,0,0,,
aluminum_foil_09s,0,0,0,0,0,,
aluminum_foil_10s,0,0,0,0,0,,
aluminum_foil_11s,0,0,0,0,0,,
aluminum_foil_12s,0,0,0,0,0,,
anchor_01b,0,0,0,0,0,,
anchor_02s,0,0,0,0,0,,
anchor_03n,0,0,0,0,0,,
anchor_04s,0,0,0,0,0,,
anchor_05s,0,0,0,0,0,,
anchor_06s,0,0,0,0,0,,
anchor_07n,0,0,1,0,0,,
anchor_08s,0,0,0,0,0,,
anchor_09s,0,0,0,0,0,,
anchor_10s,0,0,0,0,0,,
anchor_11n,0,0,0,0,0,,
anchor_12s,0,0,0,0,0,,
anklet_01b,0,1,0,1,1,1,0
anklet_02s,0,1,0,0,0,1,0
anklet_03s,0,1,0,0,0,1,0
anklet_04s,0,1,0,0,0,1,0
anklet_05s,0,1,0,0,0,1,0
anklet_06s,0,1,0,0,0,1,0
anklet_07s,0,1,1,0,0,1,0
anklet_08s,0,1,0,0,0,1,0
anklet_09s,0,1,0,0,0,1,0
anklet_10s,0,1,0,0,0,1,0
anklet_11s,0,1,0,0,0,1,0
anklet_12s,0,1,0,0,0,1,0
ant_01b,0,0,0,0,0,,
ant_02s,0,0,0,0,0,,
ant_03s,0,0,0,0,1,,
ant_04s,0,0,0,0,1,,
ant_05s,0,0,0,0,1,,
ant_06s,0,0,0,0,1,,
ant_07s,0,0,0,0,0,,
ant_08s,0,0,0,0,1,,
ant_09s,0,0,0,0,0,,
ant_10s,0,0,0,0,1,,
ant_11s,0,0,0,0,0,,
ant_12s,0,0,0,0,0,,
anteater_01b,1,1,0,0,0,0,0
anteater_02n,1,1,0,0,0,0,0
anteater_03s,1,0,0,0,0,0,0
anteater_04s,0,1,0,0,0,0,0
anteater_05s,1,0,0,0,0,0,0
anteater_06s,1,0,0,0,0,0,0
anteater_07n,1,1,0,0,0,0,0
anteater_08s,1,1,0,0,0,0,0
anteater_09s,1,1,0,0,0,0,0
anteater_10s,1,1,0,0,0,0,0
anteater_11s,1,1,0,0,0,0,0
anteater_12s,1,1,0,0,0,0,0
antelope_01b,1,1,0,0,0,0,0
antelope_02n,1,1,0,0,0,0,0
antelope_03n,1,1,0,0,0,0,0
antelope_04n,1,1,0,0,0,0,0
antelope_05n,1,1,0,0,0,0,0
antelope_06n,1,1,0,0,0,0,0
antelope_07n,1,1,0,0,0,0,0
antelope_08n,1,0,0,0,0,0,0
antelope_09n,0,0,0,0,0,,
antelope_10n,1,1,0,0,0,0,0
antelope_11s,1,1,0,0,0,0,0
antelope_12n,1,1,0,0,0,0,0
antenna_01b,0,0,0,0,0,,
antenna_02s,0,0,0,0,0,,
antenna_03n,0,0,1,0,1,,
antenna_04n,0,0,0,0,0,,
antenna_05s,0,0,0,0,0,,
antenna_06s,0,0,0,0,1,,
antenna_07s,0,0,0,0,1,,
antenna_08n,0,0,0,0,1,,
antenna_09s,0,0,0,0,0,,
antenna_10n,0,0,0,0,1,,
antenna_11s,0,0,0,0,0,,
antenna_12s,0,0,0,0,0,,
anvil_01b,0,0,0,0,0,,
anvil_02s,0,0,0,0,0,,
anvil_03s,0,0,1,0,0,,
anvil_04s,0,0,0,0,0,,
anvil_05s,0,0,0,0,1,,
anvil_06s,0,0,0,0,0,,
anvil_07n,0,0,0,1,0,,
anvil_08n,0,0,0,0,0,,
anvil_09s,0,0,0,0,0,,
anvil_10s,0,0,0,0,0,,
anvil_11s,0,0,0,0,0,,
anvil_12n,0,0,1,0,0,,
apple_01b,0,0,0,0,0,,
apple_02s,0,0,0,0,1,,
apple_03s,0,0,0,0,1,,
apple_04s,0,0,0,0,1,,
apple_05s,0,0,0,0,1,,
apple_06s,0,0,0,0,0,,
apple_07s,0,0,0,0,1,,
apple_08s,0,0,0,0,0,,
apple_09s,0,0,0,0,1,,
apple_10s,0,0,0,0,0,,
apple_11s,0,0,0,0,0,,
apple_12s,0,0,0,0,1,,
applesauce_01b,0,0,0,0,0,,
applesauce_02s,0,0,0,0,0,,
applesauce_03s,0,0,0,0,0,,
applesauce_04s,0,0,0,0,1,,
applesauce_05s,0,0,0,0,0,,
applesauce_06s,0,0,0,0,0,,
applesauce_07s,0,0,0,0,0,,
applesauce_08s,0,0,0,0,0,,
applesauce_09s,0,0,0,1,0,,
applesauce_10s,0,0,0,0,0,,
applesauce_11s,0,0,0,0,0,,
applesauce_12s,0,0,0,0,0,,
artichoke_01b,0,0,0,0,0,,
artichoke_02s,0,0,0,0,1,,
artichoke_03n,0,0,0,0,0,,
artichoke_04s,0,0,0,0,0,,
artichoke_05n,0,0,0,0,0,,
artichoke_06s,0,0,0,0,0,,
artichoke_07n,0,0,0,0,0,,
artichoke_08n,0,0,0,0,1,,
artichoke_09s,0,0,0,0,0,,
artichoke_10s,0,0,0,0,1,,
artichoke_11s,0,0,0,0,1,,
artichoke_12s,0,0,0,0,0,,
ashtray_01s,0,0,0,0,0,,
ashtray_02s,0,0,0,0,0,,
ashtray_03n,0,0,0,1,0,,
ashtray_04s,0,0,0,0,0,,
ashtray_05s,0,0,0,0,0,,
ashtray_06s,0,0,1,1,0,,
ashtray_07n,0,0,0,0,0,,
ashtray_08s,0,0,0,0,0,,
ashtray_09s,0,0,0,1,0,,
ashtray_10s,0,0,0,0,0,,
ashtray_11s,0,0,0,0,0,,
ashtray_12s,0,0,1,0,0,,
asparagus_01b,0,0,0,0,1,,
asparagus_02n,0,0,0,0,1,,
asparagus_03s,0,0,0,0,1,,
asparagus_04s,0,0,0,0,1,,
asparagus_05n,0,0,0,0,1,,
asparagus_06s,0,0,0,0,1,,
asparagus_07s,0,0,0,0,1,,
asparagus_08s,0,0,0,0,1,,
asparagus_09s,0,0,0,0,1,,
asparagus_10s,0,0,0,0,1,,
asparagus_11s,0,0,0,0,1,,
asparagus_12s,0,0,0,0,1,,
avocado_01b,0,0,0,0,1,,
avocado_02s,0,0,0,0,1,,
avocado_03s,0,0,0,0,1,,
avocado_04s,0,0,0,0,0,,
avocado_05s,0,0,0,0,0,,
avocado_06s,0,0,0,0,1,,
avocado_07s,0,0,0,0,1,,
avocado_08s,0,0,0,0,1,,
avocado_09s,0,0,0,0,1,,
avocado_10s,0,0,0,0,1,,
avocado_11s,0,0,0,0,1,,
avocado_12s,0,0,0,0,1,,
axe_01b,0,0,0,1,0,,
axe_02n,0,0,1,0,0,,
axe_03n,0,0,0,1,0,,
axe_04n,0,0,0,0,0,,
axe_05n,0,0,0,0,0,,
axe_06n,0,0,0,0,0,,
axe_07n,0,0,1,1,0,,
axe_08n,0,0,1,1,0,,
axe_09n,0,0,1,0,0,,
axe_10n,0,0,0,0,0,,
axe_11n,0,0,1,0,0,,
axe_12n,0,0,1,1,0,,
baby_01b,0,0,1,1,0,,
baby_02s,0,0,0,0,0,,
baby_03s,0,0,1,0,0,,
baby_04s,0,0,1,0,0,,
baby_05s,0,0,0,0,0,,
baby_06s,0,0,0,0,0,,
baby_07s,0,0,0,0,0,,
baby_08s,0,0,0,0,0,,
baby_09s,0,0,0,0,0,,
baby_10s,0,0,0,0,0,,
baby_11s,0,0,0,0,0,,
baby_12s,0,0,0,0,0,,
backpack_01b,0,0,1,1,0,,
backpack_02s,0,0,1,0,0,,
backpack_03s,0,0,0,0,0,,
backpack_04s,0,0,1,1,0,,
backpack_05s,0,0,0,1,0,,
backpack_06s,0,0,0,0,0,,
backpack_07s,0,0,1,0,0,,
backpack_08s,0,0,0,0,0,,
backpack_09s,0,0,0,0,0,,
backpack_10s,0,0,1,1,0,,
backpack_11s,0,0,0,0,0,,
backpack_12s,0,0,1,0,0,,
bag_01b,0,0,0,1,0,,
bag_02s,0,0,0,1,0,,
bag_03s,0,0,0,1,0,,
bag_04s,0,0,0,0,0,,
bag_05s,0,0,0,1,0,,
bag_06s,0,0,1,0,0,,
bag_07s,0,0,0,0,0,,
bag_08s,0,0,0,0,0,,
bag_09s,0,0,0,0,0,,
bag_10s,0,0,1,0,0,,
bag_11s,0,0,1,0,0,,
bag_12s,0,0,0,1,0,,
bagel_01s,0,0,0,0,1,,
bagel_02n,0,0,0,0,1,,
bagel_03s,0,0,0,0,1,,
bagel_04s,0,0,0,0,1,,
bagel_05s,0,0,0,0,1,,
bagel_06s,0,0,0,0,1,,
bagel_07s,0,0,0,0,1,,
bagel_08s,0,0,0,0,1,,
bagel_09s,0,0,0,0,1,,
bagel_10s,0,0,0,0,1,,
bagel_11s,0,0,0,0,1,,
bagel_12s,0,0,0,0,1,,
ball_01b,0,0,0,1,0,,
ball_02s,0,0,0,0,0,,
ball_03s,0,0,0,0,0,,
ball_04s,0,0,0,0,0,,
ball_05s,0,0,0,0,0,,
ball_06s,0,0,0,0,1,,
ball_07s,0,0,0,0,0,,
ball_08s,0,0,0,0,1,,
ball_09s,0,0,1,0,1,,
ball_10s,0,0,0,0,0,,
ball_11s,0,0,0,0,0,,
ball_12s,0,0,0,1,1,,
balloon_01b,0,0,0,0,1,,
balloon_02s,0,0,0,0,1,,
balloon_03s,0,0,0,1,1,,
balloon_04s,0,0,0,0,0,,
balloon_05s,0,0,1,0,0,,
balloon_06s,0,0,0,0,1,,
balloon_07s,0,0,0,0,1,,
balloon_08s,0,0,0,0,1,,
balloon_09s,0,0,0,0,1,,
balloon_10s,0,0,0,0,1,,
balloon_11s,0,0,0,0,0,,
balloon_12s,0,0,0,0,1,,
bamboo_01b,0,0,0,0,1,,
bamboo_02s,0,0,0,0,1,,
bamboo_03s,0,0,0,0,1,,
bamboo_04n,0,0,0,0,1,,
bamboo_05n,0,0,0,0,1,,
bamboo_06s,0,0,0,0,1,,
bamboo_07s,0,0,0,0,1,,
bamboo_08s,0,0,0,0,1,,
bamboo_09s,0,0,0,0,1,,
bamboo_10s,0,0,0,0,1,,
bamboo_11s,0,0,0,0,1,,
bamboo_12s,0,0,0,0,1,,
banana_01b,0,0,0,0,0,,
banana_02s,0,0,0,0,0,,
banana_03s,0,0,0,0,1,,
banana_04s,0,0,1,1,1,,
banana_05s,0,0,0,1,1,,
banana_06s,0,0,0,0,1,,
banana_07s,0,0,0,0,1,,
banana_08s,0,0,0,0,1,,
banana_09s,0,0,1,1,1,,
banana_10s,0,0,0,0,1,,
banana_11s,0,0,0,0,1,,
banana_12s,0,0,0,0,1,,
banana_split_01b,0,0,0,0,0,,
banana_split_02s,0,0,0,0,0,,
banana_split_03s,0,0,0,0,0,,
banana_split_04s,0,0,0,0,0,,
banana_split_05s,0,0,0,0,0,,
banana_split_06s,0,0,0,0,1,,
banana_split_07s,0,0,0,0,0,,
banana_split_08s,0,0,0,0,0,,
banana_split_09s,0,0,0,0,1,,
banana_split_10s,0,0,0,0,0,,
banana_split_11s,0,0,0,0,1,,
banana_split_12s,0,0,0,0,0,,
bandage_01b,0,0,0,0,0,,
bandage_02s,0,0,1,1,1,,
bandage_03s,0,0,0,0,0,,
bandage_04s,0,0,0,0,0,,
bandage_05s,0,0,0,0,0,,
bandage_06s,0,0,0,0,0,,
bandage_07s,0,0,0,0,0,,
bandage_08s,0,0,0,0,0,,
bandage_09s,0,0,0,0,0,,
bandage_10s,0,0,0,0,0,,
bandage_11s,0,0,0,0,0,,
bandage_12s,0,0,0,0,0,,
banner_01b,0,0,1,0,0,,
banner_02s,0,0,1,0,0,,
banner_03s,0,0,1,1,0,,
banner_04s,0,0,1,1,0,,
banner_05s,0,0,1,0,0,,
banner_06s,0,0,1,1,0,,
banner_07s,0,0,1,1,1,,
banner_08s,0,0,1,0,0,,
banner_09s,0,0,1,0,0,,
banner_10n,0,0,1,0,0,,
banner_11s,0,0,1,0,0,,
banner_12s,0,0,1,0,0,,
barnacle_01s,0,0,0,0,1,,
barnacle_02s,0,0,0,0,0,,
barnacle_03s,0,0,0,0,1,,
barnacle_04n,0,0,0,0,1,,
barnacle_05s,0,0,0,0,1,,
barnacle_06n,0,0,0,0,0,,
barnacle_07s,0,0,0,0,1,,
barnacle_08s,0,0,0,0,1,,
barnacle_09s,0,0,0,0,1,,
barnacle_10n,0,0,0,0,1,,
barnacle_11s,0,0,0,0,1,,
barnacle_12n,0,0,0,0,0,,
barrel_01b,0,0,0,0,0,,
barrel_02s,0,0,1,0,0,,
barrel_03s,0,0,0,0,1,,
barrel_04s,0,0,0,0,0,,
barrel_05s,0,0,0,0,1,,
barrel_06s,0,0,0,0,0,,
barrel_07s,0,0,0,0,1,,
barrel_08s,0,0,0,0,1,,
barrel_09s,0,0,0,0,0,,
barrel_10s,0,0,1,0,0,,
barrel_11s,0,0,0,0,1,,
barrel_12s,0,0,0,0,0,,
basket_01b,0,0,0,0,0,,
basket_02s,0,0,0,0,0,,
basket_03s,0,0,0,0,0,,
basket_04s,0,0,0,0,0,,
basket_05s,0,0,0,0,0,,
basket_06s,0,0,0,0,0,,
basket_07s,0,0,1,0,0,,
basket_08s,0,0,0,0,0,,
basket_09s,0,0,0,0,0,,
basket_10s,0,0,0,0,0,,
basket_11s,0,0,0,0,0,,
basket_12s,0,0,0,0,0,,
bassinet_01b,0,0,0,0,0,,
bassinet_02s,0,0,0,1,0,,
bassinet_03s,0,0,1,0,0,,
bassinet_04s,0,0,0,0,0,,
bassinet_05s,0,0,1,0,0,,
bassinet_06s,0,0,0,0,0,,
bassinet_07s,0,0,1,0,0,,
bassinet_08s,0,0,0,1,0,,
bassinet_09s,0,0,0,0,0,,
bassinet_10s,0,0,0,1,0,,
bassinet_11s,0,0,0,0,0,,
bassinet_12s,0,0,0,0,0,,
battery_01b,0,0,1,1,0,,
battery_02s,0,0,1,1,1,,
battery_03n,0,0,1,0,1,,
battery_04n,0,0,1,0,1,,
battery_05n,0,0,1,0,1,,
battery_06s,0,0,1,0,1,,
battery_07s,0,0,1,1,1,,
battery_08s,0,0,1,1,1,,
battery_09n,0,0,1,1,1,,
battery_10s,0,0,0,1,0,,
battery_11s,0,0,1,1,1,,
battery_12s,0,0,1,1,1,,
beachball_01b,0,0,0,0,0,,
beachball_02s,0,0,0,0,0,,
beachball_03s,0,0,0,0,0,,
beachball_04s,0,0,0,0,0,,
beachball_05s,0,0,0,0,0,,
beachball_06s,0,0,0,0,0,,
beachball_07s,0,0,0,0,0,,
beachball_08s,0,0,0,0,1,,
beachball_09s,0,0,0,0,1,,
beachball_10s,0,0,0,0,1,,
beachball_11s,0,0,0,0,0,,
beachball_12s,0,0,0,0,1,,
beaker_01b,0,0,1,1,0,,
beaker_02s,0,0,1,1,1,,
beaker_03s,0,0,1,0,0,,
beaker_04s,0,0,1,1,0,,
beaker_05n,0,0,1,1,1,,
beaker_06s,0,0,1,0,0,,
beaker_07s,0,0,1,1,1,,
beaker_08s,0,0,1,1,1,,
beaker_09s,0,0,1,1,0,,
beaker_10s,0,0,1,1,1,,
beaker_11s,0,0,1,1,1,,
beaker_12s,0,0,1,1,0,,
bean_01b,0,0,0,0,1,,
bean_02s,0,0,0,0,1,,
bean_03s,0,0,0,0,1,,
bean_04s,0,0,0,0,1,,
bean_05s,0,0,0,0,1,,
bean_06s,0,0,0,0,1,,
bean_07s,0,0,0,0,1,,
bean_08s,0,0,0,0,1,,
bean_09s,0,0,0,0,1,,
